L1154375,CA,CA-QC,CA-QC-LV,45.5625616,-73.8639379,"10e av. (plage), Laval",2025-08-15 14:50,118
L10026846,CA,CA-QC,CA-QC-BL,46.8963253,-70.8287442,"Accès à la grève, St-Vallier",2025-10-04 10:18,123
L14760335,CA,CA-QC,CA-QC-RM,48.3711,-68.2937,Aire de conservation de l'étang vernal,2025-05-22 14:39,64
L14119331,CA,CA-QC,CA-QC-SAG,48.3663814,-70.8788231,Aire de pique-nique Fromagerie Boivin,2025-09-28 15:35,67
L52673232,CA,CA-QC,CA-QC-JAM,53.7871648,-79.0766716,Aire de repos Chisasibi
L38131424,CA,CA-QC,CA-QC-RN,48.2463398,-78.9880085,Aire de repos Lac Osisko,2025-07-28 16:10,63
L21136372,CA,CA-QC,CA-QC-QU,46.7424487,-71.5421319,Aire de service du Cap-de-Pierre,2025-09-17 09:31,40
L15839585,CA,CA-QC,CA-QC-MG,45.128773,-72.2315479,Aire naturelle Stewart-Hopps,2025-08-27 08:40,63
L9270897,CA,CA-QC,CA-QC-FR,46.3115006,-72.5703192,Aire écologique Estelle Lacoursière,2025-10-03 13:01,74
L13150151,CA,CA-QC,CA-QC-FR,46.373548,-72.5670505,Aire écologique Ogden,2025-09-01 06:30,67
L11896533,CA,CA-QC,CA-QC-FR,46.2861608,-72.6908884,Aire écologique de la rivière St-Charles,2025-04-20 07:51,49
L2604227,CA,CA-QC,CA-QC-FR,46.2989077,-72.5935364,Aire écologique des Bateliers,2025-08-19 13:05,105
L2564633,CA,CA-QC,CA-QC-FR,46.371823,-72.5765446,Aire écologique du ruisseau Lachapelle,2025-08-03 16:14,67
L11212737,CA,CA-QC,CA-QC-NQ,60.8096475,-78.18777,Akulivik (village),2024-07-20 14:55,30
L14078945,CA,CA-QC,CA-QC-QU,46.8668026,-71.4461377,Ancien Golf Val-Belair,2025-10-08 10:51,73
L11610100,CA,CA-QC,CA-QC-MN,49.2023358,-68.2725627,Ancien aéroport d'Hauterive,2025-06-23 08:29,110
L1050921,CA,CA-QC,CA-QC-VR,45.5225257,-73.2634449,Ancien site de compostage & Ch. des Trente,2025-09-26 14:05,158
L4056691,CA,CA-QC,CA-QC-VS,45.3091942,-74.1329151,"Ancienne centrale hydroélectrique, Les Cèdres",2025-08-31 11:49,95
L4868472,CA,CA-QC,CA-QC-HC,48.5732648,-69.1344941,"Ancienne halte routière, Longue-Rive",2025-10-11 14:57,139
L3935532,CA,CA-QC,CA-QC-DE,46.7217555,-71.3391316,Anse Demers,2024-12-18 11:52,107
L3550676,CA,CA-QC,CA-QC-DE,46.7774487,-71.2054038,Anse Fréchette,2025-10-11 07:00,156
L2441001,CA,CA-QC,CA-QC-DE,46.8286651,-71.1421689,Anse Gilmour,2025-10-07 12:06,240
L3968081,CA,CA-QC,CA-QC-DE,46.7403165,-71.296404,Anse Gingras,2025-07-19 16:49,145
L4011444,CA,CA-QC,CA-QC-DR,49.2449135,-65.6462215,Anse Pleureuse,2025-09-18 16:03,86
L4216400,CA,CA-QC,CA-QC-DE,46.8070802,-71.1884129,Anse Rhodes,2025-05-27 13:35,80
L3612478,CA,CA-QC,CA-QC-DE,46.7092723,-71.3819906,Anse Ross,2025-08-28 06:14,77
L2530733,CA,CA-QC,CA-QC-DE,46.8019543,-71.1910153,Anse Russell,2025-05-15 08:03,95
L6528317,CA,CA-QC,CA-QC-QU,46.7777956,-71.2407589,Anse St-Michel,2025-10-08 10:57,114
L6198121,CA,CA-QC,CA-QC-DE,46.7917676,-71.1952043,Anse Windsor (nord),2024-12-04 10:50,94
L16133478,CA,CA-QC,CA-QC-DE,46.7836145,-71.1988121,Anse Windsor (sud),2025-09-27 06:34,53
L2867245,CA,CA-QC,CA-QC-DR,49.1106891,-66.6292048,Anse au Goémon,2025-09-30 09:12,94
L34867557,CA,CA-QC,CA-QC-CG,48.9377993,-64.3060762,Anse au Griffon,2025-08-24 12:02,82
L2866551,CA,CA-QC,CA-QC-RM,48.5274892,-68.4388087,Anse au Lard,2025-10-11 08:26,157
L3176664,CA,CA-QC,CA-QC-VS,45.3549985,-73.9354202,Anse au Sable,2025-06-12 10:10,71
L2919456,CA,CA-QC,CA-QC-IM,47.420126,-61.8943977,Anse aux Baleiniers,2025-09-27 10:46,103
L5842366,CA,CA-QC,CA-QC-HC,48.3175305,-69.4159161,Anse aux Basques,2025-09-27 09:52,183
L3941696,CA,CA-QC,CA-QC-MI,48.5482704,-68.3669972,Anse aux Coques,2025-10-11 09:00,142
L4629287,CA,CA-QC,CA-QC-FS,48.4486689,-70.9189929,Anse aux Foins,2025-10-08 08:17,215
L6629834,CA,CA-QC,CA-QC-MB,49.8362804,-64.4526029,Anse aux Fraises,2025-08-31 09:51,92
L3189513,CA,CA-QC,CA-QC-MM,46.9135319,-70.767746,Anse de Bellechasse,2025-10-10 12:00,191
L5133159,CA,CA-QC,CA-QC-MM,46.9358283,-70.7160937,Anse de Berthier,2025-10-07 13:05,167
L4046896,CA,CA-QC,CA-QC-PB,48.2858017,-64.7202927,Anse de Newport,2025-10-05 18:32,81
